============================================================================================================================================
DETAILED LINE-BY-LINE COMPARISON REPORT
REST API vs WebSocket - Every Symbol with Timestamps and Exact Values
============================================================================================================================================
Report Generated: 2025-12-03 00:57:57.909

Total USDT Perpetual Futures: 534

============================================================================================================================================
REST API BATCH CALL TIMING
============================================================================================================================================
Request Time:  2025-12-03 00:57:58.091
Response Time: 2025-12-03 00:57:58.240
Latency:       148.97 ms
Symbols Retrieved: 534

============================================================================================================================================
WEBSOCKET STATE FILE TIMING
============================================================================================================================================
Request Time:  2025-12-03 00:57:58.247
Response Time: 2025-12-03 00:57:58.249
Read Latency:  1.48 ms
Symbols Tracked: 534

============================================================================================================================================
DETAILED COMPARISON - ALL SYMBOLS
============================================================================================================================================

SYMBOL          REST FUNDING    WS FUNDING      FUNDING DIFF    REST PRICE      WS PRICE        PRICE DIFF      STATUS    
--------------------------------------------------------------------------------------------------------------------------------------------
0GUSDT          0.00000032      0.00000032      0.0000        % $1.1725         $1.1725         0.0000        % ✅ MATCH   
1000000BOBUSDT  0.00005000      0.00005000      0.0000        % $0.0254         $0.0254         0.0000        % ✅ MATCH   
1000000MOGUSDT  0.00005000      0.00005000      0.0000        % $0.3071         $0.3071         0.0000        % ✅ MATCH   
1000BONKUSDT    0.00005000      None            N/A             0.0099          0.001074        N/A             ⚠️ NULL   
1000CATUSDT     -0.00004024     -0.00004024     0.0000        % $0.0033         $0.0033         0.0000        % ✅ MATCH   
1000CHEEMSUSDT  0.00005000      0.00005000      0.0000        % $0.0013         $0.0013         0.0184        % ✅ MATCH   
1000FLOKIUSDT   0.00010000      0.00010000      0.0000        % $0.0480         $0.0480         0.0000        % ✅ MATCH   
1000LUNCUSDT    0.00004052      0.00004052      0.0000        % $0.0279         $0.0279         0.0069        % ✅ MATCH   
1000PEPEUSDT    0.00010000      None            N/A             0.0046          0.0005542       N/A             ⚠️ NULL   
1000RATSUSDT    0.00047233      0.00047233      0.0000        % $0.0301         $0.0301         0.0000        % ✅ MATCH   
1000SATSUSDT    0.00005000      0.00005000      0.0000        % $0.0000         $0.0000         0.0000        % ✅ MATCH   
1000SHIBUSDT    0.00010000      0.00010000      0.0000        % $0.0085         $0.0085         0.0000        % ✅ MATCH   
1000WHYUSDT     0.00005000      0.00005000      0.0000        % $0.0000         $0.0000         0.2290        % ❌ DIFF    
1000XECUSDT     0.00010000      0.00010000      0.0000        % $0.0120         $0.0120         0.0000        % ✅ MATCH   
1INCHUSDT       0.00001645      None            N/A             0.2044          0.016           N/A             ⚠️ NULL   
1MBABYDOGEUSDT  0.00005000      0.00005000      0.0000        % $0.0007         $0.0007         0.0000        % ✅ MATCH   
2ZUSDT          0.00004972      0.00004972      0.0000        % $0.1225         $0.1225         0.0128        % ✅ MATCH   
42USDT          0.00005000      0.00005000      0.0000        % $0.0490         $0.0490         0.0000        % ✅ MATCH   
4USDT           0.00005000      0.00005000      0.0000        % $0.0295         $0.0295         0.0000        % ✅ MATCH   
A2ZUSDT         0.00005000      0.00005000      0.0000        % $0.0021         $0.0021         0.1284        % ❌ DIFF    
AAVEUSDT        0.00008300      None            N/A             190.8759        19.53           N/A             ⚠️ NULL   
ACEUSDT         -0.00002864     -0.00002864     0.0000        % $0.2233         $0.2233         0.0000        % ✅ MATCH   
ACHUSDT         -0.00007200     -0.00007200     0.0000        % $0.0094         $0.0094         0.0000        % ✅ MATCH   
ACTUSDT         -0.00000938     -0.00000938     0.0000        % $0.0217         $0.0217         0.0000        % ✅ MATCH   
ACXUSDT         0.00005000      0.00005000      0.0000        % $0.0586         $0.0586         0.0000        % ✅ MATCH   
ADAUSDT         0.00010000      None            N/A             0.4338          0.0471          N/A             ⚠️ NULL   
AERGOUSDT       -0.00005628     -0.00005628     0.0000        % $0.0580         $0.0580         0.0000        % ✅ MATCH   
AEROUSDT        -0.00027201     -0.00027201     0.0000        % $0.6544         $0.6544         0.0000        % ✅ MATCH   
AEVOUSDT        0.00005000      0.00005000      0.0000        % $0.0457         $0.0457         0.0074        % ✅ MATCH   
AGLDUSDT        -0.00005001     -0.00005001     0.0000        % $0.2924         $0.2924         0.0000        % ✅ MATCH   
AGTUSDT         0.00023600      0.00023600      0.0000        % $0.0033         $0.0033         0.0009        % ✅ MATCH   
AIAUSDT         0.00025598      None            N/A             0.3335          0.0106          N/A             ⚠️ NULL   
AINUSDT         0.00030203      0.00030203      0.0000        % $0.0970         $0.0970         0.0000        % ✅ MATCH   
AIOTUSDT        0.00005000      None            N/A             0.4441          0.043           N/A             ⚠️ NULL   
AIOUSDT         0.00005000      0.00005000      0.0000        % $0.0827         $0.0827         0.0000        % ✅ MATCH   
AIUSDT          0.00005000      0.00005000      0.0000        % $0.0457         $0.0457         0.0000        % ✅ MATCH   
AIXBTUSDT       0.00005000      0.00005000      0.0000        % $0.0436         $0.0436         0.0000        % ✅ MATCH   
AKEUSDT         0.00005000      0.00005000      0.0000        % $0.0004         $0.0004         0.0000        % ✅ MATCH   
AKTUSDT         0.00005000      0.00005000      0.0000        % $0.4746         $0.4742         0.0683        % ✅ MATCH   
ALCHUSDT        0.00053711      0.00053711      0.0000        % $0.1872         $0.1872         0.0126        % ✅ MATCH   
ALGOUSDT        0.00010000      0.00010000      0.0000        % $0.1389         $0.1389         0.0000        % ✅ MATCH   
ALICEUSDT       0.00010000      0.00010000      0.0000        % $0.2264         $0.2264         0.0000        % ✅ MATCH   
ALLOUSDT        0.00005000      0.00005000      0.0000        % $0.1506         $0.1505         0.0359        % ✅ MATCH   
ALLUSDT         0.00010000      0.00010000      0.0000        % $0.6643         $0.6643         0.0000        % ✅ MATCH   
ALPINEUSDT      0.00005000      0.00005000      0.0000        % $0.5726         $0.5726         0.0000        % ✅ MATCH   
ALTUSDT         -0.00029545     -0.00029545     0.0000        % $0.0137         $0.0137         0.0000        % ✅ MATCH   
ANIMEUSDT       -0.00093188     None            N/A             0.0064          0.000446        N/A             ⚠️ NULL   
